pp,pre,2021-01-13-11:21:31,924,969,953,921,892,866,799,894
pp,actual,2021-01-13-11:21:33,892,947,865,863,906,926,934,873
pp,post,2021-01-13-11:21:35,819,881,861,887,805,918,891,919
pe,pre,2021-01-13-11:21:45,797,775,796,823,824,797,849,1175
pe,actual,2021-01-13-11:21:47,848,847,841,829,814,829,851,857
pe,post,2021-01-13-11:21:48,832,827,776,806,785,902,878,912
pp,pre,2021-01-13-11:22:08,823,802,751,741,781,789,745,883
pp,actual,2021-01-13-11:22:09,856,865,840,823,824,826,824,841
pp,post,2021-01-13-11:22:11,782,792,813,827,727,803,775,783
pp,pre,2021-01-13-11:22:21,902,823,833,951,903,878,741,901
pp,actual,2021-01-13-11:22:23,950,905,962,867,910,919,883,890
pp,post,2021-01-13-11:22:25,877,931,908,908,942,884,841,919
pp,pre,2021-01-13-11:24:19,896,842,829,1027,1010,944,907,786
pp,actual,2021-01-13-11:24:32,844,823,885,855,934,772,792,866
pp,post,2021-01-13-11:24:44,781,681,749,966,890,1034,882,691
pp,pre,2021-01-13-11:26:03,836,852,846,821,766,925,867,883
pp,actual,2021-01-13-11:26:05,933,937,1000,895,911,848,913,865
pp,post,2021-01-13-11:26:17,918,921,901,840,873,939,879,831
pp,pre,2021-01-13-11:37:37,3019,2561,2243,1895,1811,1575,1512,1360
pp,actual,2021-01-13-11:37:52,-1686,1376,2580,1956,1722,4294,-1875,2619
pp,post,2021-01-13-11:38:16,1159,1233,1097,1204,1015,829,946,968
